01|ima olasiz, molmi qo'y, novvosmi g'unajin, qo'chqormi sovliq?.. - sog'in sigir.
02|har gal bir xil so'z yozib berardim: birinchi o'qituvchim - onamga!
03|axir, jahlim chiqqanida urishganimni o'zing ham bilasan-ku. bor, o'g'lim, aytib kel.
04|bo'lar-bo'lmasga kuldirib, o'paverardi.
05|- yura qol, - oyim yelkamga qoqdi. - soching o'sib rangingni siqib yuboribdi.
06|-tuzukmisiz?
07|sen bola, diyman, mazasi yo'q bola ekansan, diyman.
08|fikrimni shavkat bo'lib yubordi:. -men ham boraman, - dedi u menga qarab. -nima qilasan?
09|- bekorchi odam fermada nima qilarkan? -bilmadim.
10|buning ustiga ichib oldimi, tamom, uy ichini tiriqtirib quvadi.
11|erkin aka o'rnidan turib ketdi.
12|- endi toyni hech kim toy demasin.
13|zumrad trolleybusdan sakrab tushdi.
14|tavba, nega shu kolxozga keldim? boshqa kolxozlar ham agronom so'rashgan edi-ku!
15|shaharning yaxshi yemakxonalaridan biriga boshlab borib, somsayu kabob bilan siyladi.
16|oltinchi bor hujum qildi dushman yana kuch to'plab, tog' ichiga yashirindi - chorasiz isyonkorlar.
17|orqadagi soqchi ham besh metrcha masofada edi.
18|risolat opamiz bir zum esankirab turdi-da, tashqariga yugurdi.
19|- bir qoshiq suv bilan yutgudek-a! - baxti bor ekan sariq mashakni! - dedi boshqasi unga javoban.
20|tanidi-yu, bo'shashib ketdi.
21|qanoat
22|- o'zi tirikmi axir? - u ingragudek ohangda lo'li tomon talpindi.
23|-go'zal! to'xta!
24|otang, onang xotirasi hurmati, to'g'ri yur!
25|- hozir akangiz kelsin, tahorat olgani o'tuvdi.
26|xaridor horg'in bosh chayqadi. - o'zimga qolsa-ku, besh yuzga ham olaverardim.
27|boladan gap ochildimi, tamom, biri biriga gap bermay ertani kech qilishadi, kechni erta.
28|-keldingizmi, o'g'lim, - dedi u yuzini yaktagi ichiga yashirib. - sizni kutib o'tiribman.
29|-foydasi yo'q, - dedi sherigi. - buning ustiga meni bilasan.
30|nechun kelding? muroding ne?
31|guzardagi bozorchada o'tirib pista sotadi:
32|so'zlarimda, bo'g'zimda, jon-jonimda yashading,
33|bir moskvaga ketgan, deb eshitdim.
34|ismi go'zal. lekin ismi jismiga monand tushmagan. u bilan men o'tgan yili tanishganman.
35|o'zga chorasi yo'q uning. hatto ona yer ham chorasiz... dunyoni charxpalak deydilar.
36|- yo'q, yo'q, - yusuf uning bilagidan tutib to'xtatdi, - hojati yo'q, rahmat sizga.
37|otasi yetishtirolmagan qovunlarni yetishtiribdi.
38|hozir qarindoshini ham tanimay qolgan. kelib otangni ham namoz o'qimayapsiz, deb tergab ketadi.
39|u gap tamom degandek shampandan bir xo'pladi-da, fujerni stol chetiga qo'ydi.
40|biroq ularning barchasida men uchun eng aziz odam - onam siymosi bor.
41|u yoq-bu yoqqa ketib qoldimikin? unday bo'lsa aytardi.
42|qo'lida qizil duxoba g'ilofli dutor. cholni ko'rib salom berdi. -yaxshi chertarkansiz, - dedi chol.
43|qamchi yedi. endi ko'nikib qoldi.
44|nizomiddin aka shaharga kirmay, mashinani katta yo'lda qoldirib, o'rmon tomon yo'l oldi.
45|zero, unga kuchli ham, kuchsiz ham birdek talpinadi. demak, umid bor.
46|turaverasan.
47|uning yuzida qon qolmagan edi.
48|-hozircha chora yo'q. barakda gaplashamiz.
49|toy onamni oldingi o'rindiqqa o'tqizdi. yarim soatcha aylantirib keldi.
50|ukamga yog'och qoshiq, menga temir qoshiq tegdi.
51|sandiqqa bosyapsizmi?
52|sho'tta turasiz.
